Rank,Male Name,Number of Males,Female Name,Number of Females
149,Ricardo,"27,187",Ashlyn,"22,466"
150,Cristian,"27,184",Sabrina,"22,347"
151,Derek,"27,021",Caitlin,"22,297"
152,Micah,"27,014",Summer,"22,191"
153,Brody,"26,689",Ruby,"22,026"
154,Francisco,"26,516",Valerie,"21,958"
155,Nolan,"26,371",Rylee,"21,953"
156,Ayden,"26,292",Skylar,"21,893"
157,Dalton,"26,176",Lindsey,"21,644"
158,Shane,"26,128",Kelly,"21,616"
159,Peter,"26,126",Genesis,"21,432"
160,Damian,"26,031",Zoey,"21,406"
161,Jeffrey,"25,915",Eva,"21,350"
162,Brendan,"25,835",Sadie,"21,324"
163,Travis,"25,736",Alexia,"21,232"
164,Fernando,"25,152",Cassidy,"21,175"
165,Peyton,"24,966",Kylee,"21,163"
166,Conner,"24,929",Kendall,"21,032"
167,Andres,"24,772",Jordyn,"20,996"
168,Javier,"24,632",Kate,"20,768"
169,Giovanni,"24,227",Jayla,"20,739"
170,Shawn,"24,193",Karen,"20,608"
171,Braden,"24,071",Tiffany,"20,186"
172,Jonah,"23,695",Cassandra,"20,129"
173,Bradley,"23,617",Juliana,"20,061"
174,Cesar,"23,606",Reagan,"19,975"
175,Emmanuel,"23,538",Caitlyn,"19,779"
176,Manuel,"23,443",Giselle,"19,718"
177,Edgar,"22,584",Serenity,"19,644"
178,Mario,"22,427",Alondra,"19,497"
179,Erik,"22,406",Lucy,"19,394"
180,Edwin,"22,072",Bianca,"18,913"
181,Johnathan,"21,918",Kiara,"18,912"
182,Devon,"21,633",Crystal,"18,901"
183,Erick,"21,426",Erica,"18,870"
184,Wesley,"21,080",Angelica,"18,693"
185,Oliver,"20,931",Hope,"18,686"
186,Trenton,"20,898",Chelsea,"18,023"
187,Hector,"20,880",Alana,"17,934"
188,Malachi,"20,776",Liliana,"17,617"
189,Jalen,"20,446",Brittany,"17,568"
190,Raymond,"20,441",Camila,"17,564"
191,Gregory,"20,073",Makenzie,"17,476"
192,Abraham,"19,842",Lilly,"17,268"
193,Elias,"19,614",Veronica,"17,250"
194,Leonardo,"19,487",Abby,"17,217"
195,Sergio,"19,446",Jazmin,"17,200"
196,Donovan,"19,327",Adrianna,"17,181"
197,Colby,"19,181",Delaney,"17,086"
198,Marco,"19,118",Karina,"17,079"
199,Bryson,"19,066",Ellie,"17,024"
200,Martin,"18,757",Jasmin,"16,913"
,,,,
